	Region1_2010_FOOD3	Region1_2010_FOOD5	Region1_2014_FOOD2	Region1_2012_FOOD6	Region2_2016_FOOD13	Region6_2013_FOOD1	Region2_2006_FOOD12	Region1_2016_FOOD9	Region1_2016_FOOD10	Region1_2017_FOOD7	Region5_2016_FOOD15	Region3_2017_HUMAN26	Country_HUMAN49	Country_HUMAN34	Country_HUMAN44	Region3_2017_HUMAN19	Country_HUMAN48	Country_HUMAN50	Country_HUMAN39	Region4_2016_FOOD16	Region4_2017_FOOD17	Region3_2017_HUMAN18	Region3_2017_HUMAN20	Region3_2017_HUMAN22	Region3_2017_HUMAN23	Country_HUMAN28	Country_HUMAN33	Country_HUMAN35	Country_HUMAN36	Country_HUMAN37	Country_HUMAN40	SE_2018_FOOD41	Country_HUMAN47	Region3_2017_HUMAN21	Region3_2018_FOOD42	Region3_2018_FOOD43	Region3_2017_HUMAN24	Country_HUMAN38	Region3_2017_HUMAN25	Country_HUMAN27	Country_HUMAN32	Country_HUMAN31	Country_HUMAN29	Region1_2017_FOOD8	Country_HUMAN45	Country_HUMAN30	Country_HUMAN46	Region7_2014_FOOD11	Region2_2017_FOOD14
Country_HUMAN33	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN35	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN36	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN37	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	3	6.99	10.99	41	30
Country_HUMAN40	14	14	13	13	13	13	13	18.99	21.99	13	8.99	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	3	2	4	3	1	3	6.99	9.99	21.99	15
SE_2018_FOOD41	21.99	22.99	21.99	24	21.99	20.99	25	28	31.99	22.99	18.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	2	1	2	2	3	3	5	10.99	39	28
Country_HUMAN47	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	1	1	1	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	2	4	3	3	2	6.99	9.99	41	30
Region3_2017_HUMAN21	24	25	24	26	24	22.99	27	30	31.99	22.99	20.99	1	1	1	2	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	2	2	2	3	4	3	3	5	4	3	4	7.99	8.99	42	31
Region3_2018_FOOD42	24	25	24	26	24	22.99	27	30	34	25	20.99	2	2	2	3	3	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	3	3	4	2	2	3	2	4	4	6.99	12	42	30
Region3_2018_FOOD43	22.99	24	22.99	25	22.99	21.99	26	29	32.99	24	19.99	2	2	2	3	3	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	3	3	4	2	2	4	3	4	4	6	12	41	30
Region3_2017_HUMAN24	25	26	25	27	24	24	28	31	32.99	26	21.99	2	2	2	3	4	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	4	5	4	4	6	5	5	5	7.99	12	43	31.99
